<<<<<<< HEAD
FuelLogID,FuelLogDate,FuelAmount,FuelCost,FuelStation,VehicleID,DriverID
21,2024-01-21,41.97,314.98,Sonol,324,20
22,2024-01-22,53.10,360.93,Sonol,363,68
23,2024-01-23,41.22,257.88,Dor Alon,385,170
24,2024-01-24,54.23,354.52,Delek,120,316
25,2024-01-25,58.39,390.55,Sonol,89,509
26,2024-01-26,44.86,345.11,Dor Alon,310,222
27,2024-01-27,42.09,269.46,Paz,39,207
28,2024-01-28,47.75,298.19,Sonol,495,513
29,2024-01-29,37.61,295.71,Sonol,318,336
30,2024-01-30,60.78,387.59,Paz,136,211
31,2024-01-31,48.37,362.03,Delek,119,5
32,2024-02-01,67.29,500.42,Ten,90,342
33,2024-02-02,65.57,418.70,Dor Alon,320,24
34,2024-02-03,60.34,443.49,Sonol,215,329
35,2024-02-04,37.70,252.51,Paz,327,452
36,2024-02-05,40.91,265.24,Dor Alon,118,16
37,2024-02-06,52.39,334.47,Delek,359,327
38,2024-02-07,35.66,266.30,Sonol,291,251
39,2024-02-08,32.85,239.93,Paz,347,455
40,2024-02-09,35.20,248.07,Ten,52,109
41,2024-02-10,32.15,224.01,Dor Alon,184,457
42,2024-02-11,44.22,300.62,Ten,203,81
43,2024-02-12,52.71,335.62,Ten,480,100
44,2024-02-13,42.42,312.21,Sonol,477,482
45,2024-02-14,67.90,438.55,Ten,265,373
46,2024-02-15,37.33,293.08,Ten,339,333
47,2024-02-16,49.50,312.72,Ten,116,360
48,2024-02-17,48.45,315.29,Dor Alon,357,131
49,2024-02-18,34.12,261.75,Dor Alon,110,334
50,2024-02-19,55.98,426.92,Dor Alon,473,411
51,2024-02-20,46.54,340.56,Ten,163,494
52,2024-02-21,32.64,214.60,Dor Alon,442,446
53,2024-02-22,61.49,441.51,Paz,242,178
54,2024-02-23,59.57,445.67,Dor Alon,499,118
55,2024-02-24,53.84,365.34,Sonol,100,456
56,2024-02-25,42.32,293.30,Delek,112,389
57,2024-02-26,49.77,367.72,Sonol,93,223
58,2024-02-27,65.49,512.52,Sonol,1,151
59,2024-02-28,48.12,323.59,Sonol,458,201
60,2024-02-29,57.26,387.64,Delek,312,446
61,2024-03-01,69.61,504.60,Delek,414,131
62,2024-03-02,32.50,254.21,Dor Alon,55,1
63,2024-03-03,62.83,430.17,Sonol,289,32
64,2024-03-04,47.27,343.29,Ten,326,392
65,2024-03-05,45.26,325.02,Sonol,178,487
66,2024-03-06,37.53,258.67,Sonol,369,428
67,2024-03-07,41.54,322.80,Paz,129,138
68,2024-03-08,32.87,204.72,Sonol,499,448
69,2024-03-09,33.39,245.62,Dor Alon,426,467
70,2024-03-10,67.21,492.10,Dor Alon,466,435
71,2024-03-11,62.80,432.85,Ten,232,191
72,2024-03-12,54.18,392.28,Delek,243,514
73,2024-03-13,46.43,333.51,Paz,376,35
74,2024-03-14,52.73,393.83,Paz,116,494
75,2024-03-15,35.68,268.18,Dor Alon,287,477
76,2024-03-16,33.13,258.48,Ten,91,252
77,2024-03-17,55.23,408.41,Dor Alon,80,320
78,2024-03-18,32.11,218.94,Ten,12,481
79,2024-03-19,50.51,355.82,Delek,340,432
80,2024-03-20,68.42,522.51,Paz,297,172
81,2024-03-21,57.80,420.54,Paz,312,267
82,2024-03-22,55.17,399.47,Dor Alon,53,299
83,2024-03-23,31.09,219.89,Paz,130,518
84,2024-03-24,64.06,429.21,Delek,136,288
85,2024-03-25,64.31,400.37,Dor Alon,115,179
86,2024-03-26,59.56,439.94,Delek,379,180
87,2024-03-27,61.30,406.12,Delek,186,34
88,2024-03-28,69.36,550.80,Ten,158,508
89,2024-03-29,60.81,403.07,Sonol,451,172
90,2024-03-30,53.11,409.76,Paz,56,271
91,2024-03-31,32.10,225.83,Ten,488,309
92,2024-04-01,59.85,452.13,Ten,240,389
93,2024-04-02,48.98,316.47,Delek,446,13
94,2024-04-03,67.09,470.16,Paz,324,43
95,2024-04-04,66.71,490.14,Delek,443,280
96,2024-04-05,40.81,311.96,Ten,262,401
97,2024-04-06,60.93,459.92,Sonol,200,346
98,2024-04-07,42.53,264.50,Paz,9,70
99,2024-04-08,46.45,331.91,Sonol,457,360
100,2024-04-09,59.01,392.62,Dor Alon,35,25
101,2024-04-10,33.68,265.71,Paz,223,125
102,2024-04-11,33.46,243.87,Paz,385,190
103,2024-04-12,57.83,384.92,Ten,479,78
104,2024-04-13,66.91,448.13,Delek,438,332
105,2024-04-14,36.48,231.03,Ten,64,392
106,2024-04-15,43.31,273.20,Ten,272,183
