<<<<<<< HEAD
InsuranceID,InsuranceCompany,PolicyNumber,StartDate,EndDate,Cost,VehicleID
21,Migdal,200021,2024-01-01,2025-01-01,5401,223
22,Phoenix,200022,2024-01-01,2025-01-01,5013,341
23,Harel,200023,2024-01-01,2025-01-01,4815,217
24,Harel,200024,2024-01-01,2025-01-01,4920,491
25,Migdal,200025,2024-01-01,2025-01-01,5418,210
26,Phoenix,200026,2024-01-01,2025-01-01,5045,330
27,Phoenix,200027,2024-01-01,2025-01-01,5189,478
28,Phoenix,200028,2024-01-01,2025-01-01,5115,268
29,Migdal,200029,2024-01-01,2025-01-01,5325,510
30,Phoenix,200030,2024-01-01,2025-01-01,4900,481
31,Phoenix,200031,2024-01-01,2025-01-01,5008,380
32,Harel,200032,2024-01-01,2025-01-01,5223,47
33,Phoenix,200033,2024-01-01,2025-01-01,4949,17
34,Phoenix,200034,2024-01-01,2025-01-01,5366,428
35,Phoenix,200035,2024-01-01,2025-01-01,4956,201
36,Harel,200036,2024-01-01,2025-01-01,5035,389
37,Phoenix,200037,2024-01-01,2025-01-01,5311,346
38,Migdal,200038,2024-01-01,2025-01-01,5300,503
39,Harel,200039,2024-01-01,2025-01-01,4972,361
40,Harel,200040,2024-01-01,2025-01-01,4943,501
41,Clal,200041,2024-01-01,2025-01-01,5355,61
42,Clal,200042,2024-01-01,2025-01-01,4876,50
43,Harel,200043,2024-01-01,2025-01-01,5222,141
44,Clal,200044,2024-01-01,2025-01-01,4869,155
45,Migdal,200045,2024-01-01,2025-01-01,5023,518
46,Migdal,200046,2024-01-01,2025-01-01,5182,62
47,Clal,200047,2024-01-01,2025-01-01,5475,500
48,Clal,200048,2024-01-01,2025-01-01,4806,422
49,Phoenix,200049,2024-01-01,2025-01-01,4817,282
50,Migdal,200050,2024-01-01,2025-01-01,4817,515
51,Clal,200051,2024-01-01,2025-01-01,4983,110
52,Harel,200052,2024-01-01,2025-01-01,5336,153
53,Phoenix,200053,2024-01-01,2025-01-01,4996,259
54,Clal,200054,2024-01-01,2025-01-01,5073,407
55,Migdal,200055,2024-01-01,2025-01-01,5182,416
56,Harel,200056,2024-01-01,2025-01-01,5378,250
57,Clal,200057,2024-01-01,2025-01-01,5107,83
58,Migdal,200058,2024-01-01,2025-01-01,4895,416
59,Clal,200059,2024-01-01,2025-01-01,5186,488
60,Harel,200060,2024-01-01,2025-01-01,5452,10
61,Migdal,200061,2024-01-01,2025-01-01,4884,512
62,Clal,200062,2024-01-01,2025-01-01,5460,340
63,Harel,200063,2024-01-01,2025-01-01,5340,44
64,Phoenix,200064,2024-01-01,2025-01-01,5016,487
65,Phoenix,200065,2024-01-01,2025-01-01,4847,77
66,Harel,200066,2024-01-01,2025-01-01,5356,34
67,Harel,200067,2024-01-01,2025-01-01,5122,17
68,Migdal,200068,2024-01-01,2025-01-01,5401,148
69,Harel,200069,2024-01-01,2025-01-01,4878,307
70,Migdal,200070,2024-01-01,2025-01-01,5377,247
71,Migdal,200071,2024-01-01,2025-01-01,5493,340
72,Phoenix,200072,2024-01-01,2025-01-01,4943,81
73,Migdal,200073,2024-01-01,2025-01-01,4854,101
74,Phoenix,200074,2024-01-01,2025-01-01,5037,78
75,Phoenix,200075,2024-01-01,2025-01-01,5419,407
76,Migdal,200076,2024-01-01,2025-01-01,4830,280
77,Phoenix,200077,2024-01-01,2025-01-01,5302,234
78,Migdal,200078,2024-01-01,2025-01-01,5366,385
79,Clal,200079,2024-01-01,2025-01-01,4990,390
80,Harel,200080,2024-01-01,2025-01-01,5433,303
81,Phoenix,200081,2024-01-01,2025-01-01,4875,85
82,Harel,200082,2024-01-01,2025-01-01,4957,390
83,Phoenix,200083,2024-01-01,2025-01-01,5198,325
84,Clal,200084,2024-01-01,2025-01-01,4909,94
85,Phoenix,200085,2024-01-01,2025-01-01,5115,456
86,Harel,200086,2024-01-01,2025-01-01,5076,105
87,Migdal,200087,2024-01-01,2025-01-01,4889,192
88,Clal,200088,2024-01-01,2025-01-01,5259,418
89,Phoenix,200089,2024-01-01,2025-01-01,4826,92
90,Phoenix,200090,2024-01-01,2025-01-01,5367,96
91,Phoenix,200091,2024-01-01,2025-01-01,5194,13
92,Clal,200092,2024-01-01,2025-01-01,5223,398
93,Harel,200093,2024-01-01,2025-01-01,5372,249
94,Harel,200094,2024-01-01,2025-01-01,5189,174
95,Phoenix,200095,2024-01-01,2025-01-01,5075,309
96,Clal,200096,2024-01-01,2025-01-01,5304,150
97,Phoenix,200097,2024-01-01,2025-01-01,4971,446
98,Migdal,200098,2024-01-01,2025-01-01,5231,307
99,Phoenix,200099,2024-01-01,2025-01-01,4878,370
100,Harel,200100,2024-01-01,2025-01-01,5052,508
101,Harel,200101,2024-01-01,2025-01-01,5268,110
102,Migdal,200102,2024-01-01,2025-01-01,5111,7
103,Phoenix,200103,2024-01-01,2025-01-01,5140,390
104,Migdal,200104,2024-01-01,2025-01-01,5250,343
105,Phoenix,200105,2024-01-01,2025-01-01,5466,140
106,Migdal,200106,2024-01-01,2025-01-01,5128,206
107,Migdal,200107,2024-01-01,2025-01-01,5121,182
108,Migdal,200108,2024-01-01,2025-01-01,5126,299
109,Phoenix,200109,2024-01-01,2025-01-01,5389,249
110,Migdal,200110,2024-01-01,2025-01-01,5185,288
111,Harel,200111,2024-01-01,2025-01-01,5173,117
112,Clal,200112,2024-01-01,2025-01-01,5406,185
113,Migdal,200113,2024-01-01,2025-01-01,5272,215
114,Migdal,200114,2024-01-01,2025-01-01,5098,71
115,Harel,200115,2024-01-01,2025-01-01,5489,512
116,Harel,200116,2024-01-01,2025-01-01,5448,311
117,Migdal,200117,2024-01-01,2025-01-01,5058,158
118,Migdal,200118,2024-01-01,2025-01-01,5186,76
119,Migdal,200119,2024-01-01,2025-01-01,5412,491
120,Migdal,200120,2024-01-01,2025-01-01,5347,519
121,Phoenix,200121,2024-01-01,2025-01-01,5356,38
122,Clal,200122,2024-01-01,2025-01-01,5349,88
123,Harel,200123,2024-01-01,2025-01-01,5054,364
124,Migdal,200124,2024-01-01,2025-01-01,5462,46
125,Clal,200125,2024-01-01,2025-01-01,5139,441
126,Phoenix,200126,2024-01-01,2025-01-01,4810,101
127,Migdal,200127,2024-01-01,2025-01-01,5027,227
128,Migdal,200128,2024-01-01,2025-01-01,5183,401
129,Harel,200129,2024-01-01,2025-01-01,5495,513
130,Migdal,200130,2024-01-01,2025-01-01,5153,26
131,Migdal,200131,2024-01-01,2025-01-01,4907,303
132,Harel,200132,2024-01-01,2025-01-01,4887,119
133,Phoenix,200133,2024-01-01,2025-01-01,5156,320
134,Migdal,200134,2024-01-01,2025-01-01,5266,212
135,Clal,200135,2024-01-01,2025-01-01,5156,488
136,Phoenix,200136,2024-01-01,2025-01-01,5248,464
137,Clal,200137,2024-01-01,2025-01-01,4868,308
138,Phoenix,200138,2024-01-01,2025-01-01,4917,24
139,Harel,200139,2024-01-01,2025-01-01,5463,112
140,Harel,200140,2024-01-01,2025-01-01,5049,179
141,Migdal,200141,2024-01-01,2025-01-01,5138,437
142,Harel,200142,2024-01-01,2025-01-01,5037,415
143,Migdal,200143,2024-01-01,2025-01-01,4990,443
144,Migdal,200144,2024-01-01,2025-01-01,4829,203
145,Migdal,200145,2024-01-01,2025-01-01,5406,440
146,Harel,200146,2024-01-01,2025-01-01,4804,220
147,Clal,200147,2024-01-01,2025-01-01,5085,65
148,Phoenix,200148,2024-01-01,2025-01-01,5349,192
149,Migdal,200149,2024-01-01,2025-01-01,5133,202
150,Migdal,200150,2024-01-01,2025-01-01,4916,269
151,Migdal,200151,2024-01-01,2025-01-01,5340,321
152,Clal,200152,2024-01-01,2025-01-01,5425,402
153,Migdal,200153,2024-01-01,2025-01-01,5156,361
