FuelLogID,FuelLogDate,FuelAmount,FuelCost,FuelStation,VehicleID,DriverID
521,2024-02-01,57.88,427.09,Paz,42,165
522,2024-02-02,28.58,239.20,Sonol,107,321
523,2024-02-03,63.37,513.71,Paz,48,120
524,2024-02-04,31.68,247.21,Delek,78,178
525,2024-02-05,57.57,383.79,Paz,318,253
526,2024-02-06,49.50,343.78,Ten,120,29
527,2024-02-07,63.00,482.02,Ten,212,21
528,2024-02-08,27.63,192.04,Ten,405,134
529,2024-02-09,63.90,437.62,Delek,306,255
530,2024-02-10,29.81,251.73,Ten,96,393
531,2024-02-11,22.10,160.53,Sonol,192,274
532,2024-02-12,25.56,186.17,Sonol,410,506
533,2024-02-13,36.33,251.66,Dor Alon,266,109
534,2024-02-14,40.89,344.45,Delek,388,247
535,2024-02-15,50.08,345.66,Sonol,199,160
536,2024-02-16,22.86,178.63,Sonol,80,353
537,2024-02-17,22.01,163.50,Delek,48,501
538,2024-02-18,55.78,445.88,Delek,70,297
539,2024-02-19,35.81,273.69,Paz,402,510
540,2024-02-20,24.74,185.03,Delek,315,35
541,2024-02-21,41.37,271.00,Paz,55,460
542,2024-02-22,47.46,354.11,Delek,230,86
543,2024-02-23,52.32,361.59,Delek,233,77
544,2024-02-24,26.41,181.15,Delek,380,48
545,2024-02-25,38.53,267.81,Paz,92,23
546,2024-02-26,37.18,301.32,Sonol,333,518
547,2024-02-27,65.72,494.98,Delek,191,352
548,2024-02-28,62.32,469.93,Dor Alon,309,359
549,2024-02-29,21.67,162.51,Ten,502,36
550,2024-03-01,51.20,392.40,Ten,167,197
551,2024-03-02,54.54,422.48,Sonol,376,446
552,2024-03-03,55.50,452.85,Sonol,74,92
553,2024-03-04,58.02,394.23,Dor Alon,467,136
554,2024-03-05,49.36,343.72,Ten,401,157
555,2024-03-06,67.23,457.48,Paz,125,131
556,2024-03-07,26.69,195.80,Ten,325,184
557,2024-03-08,34.92,294.24,Ten,398,281
558,2024-03-09,30.60,245.99,Paz,45,57
559,2024-03-10,37.12,313.50,Ten,441,207
560,2024-03-11,40.04,291.51,Sonol,23,433
561,2024-03-12,61.57,505.24,Delek,179,54
562,2024-03-13,24.81,184.84,Paz,231,81
563,2024-03-14,20.11,156.41,Sonol,450,41
564,2024-03-15,52.01,393.44,Sonol,186,151
565,2024-03-16,67.69,574.77,Sonol,259,38
566,2024-03-17,42.20,353.71,Sonol,171,496
567,2024-03-18,68.73,455.34,Ten,458,502
568,2024-03-19,20.97,149.41,Sonol,188,181
569,2024-03-20,42.63,339.49,Delek,474,170
570,2024-03-21,20.37,166.98,Paz,166,176
571,2024-03-22,60.57,407.30,Sonol,121,242
572,2024-03-23,27.05,219.09,Delek,51,390
573,2024-03-24,60.79,411.92,Delek,233,472
574,2024-03-25,42.58,290.59,Delek,457,4
575,2024-03-26,43.24,348.63,Dor Alon,209,376
576,2024-03-27,65.76,479.45,Sonol,420,325
577,2024-03-28,55.69,372.50,Paz,79,123
578,2024-03-29,56.16,440.50,Paz,379,276
579,2024-03-30,48.35,370.96,Delek,307,421
580,2024-03-31,57.32,451.28,Sonol,12,72
581,2024-04-01,62.69,434.21,Sonol,385,420
582,2024-04-02,34.84,242.43,Delek,444,480
583,2024-04-03,43.89,288.91,Delek,395,459
584,2024-04-04,29.55,195.38,Delek,360,474
585,2024-04-05,32.13,228.07,Paz,385,20
586,2024-04-06,36.76,295.31,Ten,391,519
587,2024-04-07,44.90,294.39,Delek,483,188
588,2024-04-08,24.19,201.41,Sonol,184,156
589,2024-04-09,37.57,287.40,Delek,295,519
590,2024-04-10,54.45,438.47,Sonol,261,401
591,2024-04-11,33.99,249.45,Ten,43,93
592,2024-04-12,65.54,508.50,Dor Alon,433,77
593,2024-04-13,51.52,432.28,Sonol,425,432
594,2024-04-14,57.37,408.89,Paz,499,289
595,2024-04-15,46.75,338.26,Dor Alon,225,264
596,2024-04-16,46.57,326.75,Delek,46,137
597,2024-04-17,44.89,310.18,Paz,216,508
598,2024-04-18,59.17,452.34,Dor Alon,27,419
599,2024-04-19,44.70,313.76,Delek,305,289
600,2024-04-20,69.12,486.29,Delek,479,431
601,2024-04-21,61.09,408.66,Delek,95,2
602,2024-04-22,67.22,541.89,Dor Alon,445,192
603,2024-04-23,20.44,133.26,Dor Alon,300,432
604,2024-04-24,64.43,460.35,Delek,140,418
605,2024-04-25,62.81,444.94,Paz,89,506
606,2024-04-26,52.08,383.87,Dor Alon,92,472
607,2024-04-27,49.34,369.18,Sonol,133,294
608,2024-04-28,60.21,493.00,Dor Alon,241,463
609,2024-04-29,62.01,467.77,Paz,253,141
610,2024-04-30,26.99,189.41,Sonol,402,376
611,2024-05-01,21.27,167.88,Dor Alon,226,422
612,2024-05-02,29.54,203.88,Dor Alon,388,92
613,2024-05-03,20.87,149.14,Ten,350,42
614,2024-05-04,25.03,163.83,Paz,516,453
615,2024-05-05,30.03,219.14,Ten,203,455
616,2024-05-06,21.12,179.39,Delek,192,435
617,2024-05-07,61.34,400.79,Ten,135,311
618,2024-05-08,64.10,457.24,Delek,513,232
619,2024-05-09,29.09,226.51,Paz,128,421
620,2024-05-10,35.38,255.96,Delek,367,383
621,2024-05-11,25.35,192.17,Ten,270,146
622,2024-05-12,39.17,256.33,Ten,142,497
623,2024-05-13,59.85,480.65,Sonol,345,316
624,2024-05-14,22.33,173.82,Paz,444,286
625,2024-05-15,36.49,310.07,Dor Alon,323,470
626,2024-05-16,23.65,169.74,Dor Alon,463,317
627,2024-05-17,45.86,324.36,Paz,520,454
628,2024-05-18,57.78,446.10,Paz,343,464
629,2024-05-19,51.43,400.21,Sonol,190,330
630,2024-05-20,40.32,323.54,Sonol,463,51
631,2024-05-21,31.64,226.75,Sonol,402,166
632,2024-05-22,35.89,276.27,Ten,280,413
633,2024-05-23,66.80,513.52,Delek,395,188
634,2024-05-24,24.04,190.26,Sonol,176,455
635,2024-05-25,57.82,485.24,Dor Alon,56,236
636,2024-05-26,56.58,371.44,Ten,323,98
637,2024-05-27,40.00,333.97,Ten,9,509
638,2024-05-28,60.31,438.36,Paz,358,409
639,2024-05-29,39.85,337.00,Sonol,129,247
640,2024-05-30,58.07,425.29,Sonol,295,280
641,2024-05-31,49.20,405.81,Dor Alon,57,86
642,2024-06-01,53.40,433.86,Dor Alon,94,329
643,2024-06-02,55.65,435.65,Delek,19,3
644,2024-06-03,62.18,423.64,Ten,273,259
645,2024-06-04,32.80,264.68,Sonol,372,326
646,2024-06-05,42.64,326.48,Delek,251,71
647,2024-06-06,40.83,306.43,Paz,6,480
648,2024-06-07,57.41,424.26,Paz,47,188
649,2024-06-08,54.44,435.09,Sonol,258,160
650,2024-06-09,61.33,509.65,Sonol,223,57
651,2024-06-10,54.61,420.62,Paz,28,413
652,2024-06-11,66.26,554.33,Sonol,292,444
653,2024-06-12,21.55,149.37,Sonol,216,487
654,2024-06-13,46.04,305.10,Delek,22,134
655,2024-06-14,34.22,270.87,Delek,394,246
656,2024-06-15,65.33,479.29,Ten,415,460
657,2024-06-16,40.78,327.68,Paz,386,440
658,2024-06-17,32.14,210.30,Sonol,507,283
659,2024-06-18,56.74,398.06,Sonol,371,520
660,2024-06-19,24.93,175.64,Paz,302,238
661,2024-06-20,25.17,194.40,Delek,514,338
