MaintenanceID,MaintenanceDate,MaintenanceType,Cost,Notes,VehicleId
521,6/11/2025,Inspection,5.99,"",1
522,8/12/2025,Engine,5.49,"",2
523,1/23/2026,Tires,45.99,General check,3
524,2/25/2026,Oil Change,44.99,General check,4
525,8/15/2025,Inspection,4.49,Routine service,5
526,7/28/2025,Engine,5.29,Routine service,6
527,1/28/2026,Engine,19.99,Routine service,7
528,2/10/2026,Oil Change,14.99,Repair done,8
529,5/18/2025,Oil Change,15.99,General check,9
530,4/6/2025,Engine,12.99,Routine service,10
531,7/2/2025,Inspection,199.99,General check,11
532,8/1/2025,Tires,4.59,"",12
533,7/29/2025,Brakes,12.99,Routine service,13
534,5/28/2025,Oil Change,14.99,Repair done,14
535,3/26/2026,Oil Change,4.29,Scheduled maintenance,15
536,12/18/2025,Oil Change,0.99,"",16
537,9/14/2025,Brakes,19.99,Routine service,17
538,12/3/2025,Brakes,2.99,Routine service,18
539,5/15/2025,Oil Change,18.99,General check,19
540,11/25/2025,Oil Change,2.99,Repair done,20
541,3/16/2026,Inspection,129.99,Routine service,21
542,3/25/2026,Tires,8.99,Routine service,22
543,11/15/2025,Oil Change,19.99,Repair done,23
544,8/17/2025,Oil Change,5.99,Routine service,24
545,2/21/2026,Oil Change,29.99,Scheduled maintenance,25
546,5/5/2025,Inspection,2.49,"",26
547,11/7/2025,Tires,99.99,Scheduled maintenance,27
548,3/9/2026,Inspection,3.99,Routine service,28
549,7/13/2025,Brakes,2.99,Repair done,29
550,8/15/2025,Engine,1.99,General check,30
551,2/19/2026,Oil Change,69.99,Routine service,31
552,6/11/2025,Oil Change,3.99,Routine service,32
553,2/3/2026,Oil Change,5.99,Routine service,33
554,3/19/2026,Inspection,24.99,Scheduled maintenance,34
555,1/7/2026,Engine,49.99,Routine service,35
556,11/24/2025,Brakes,3.29,"",36
557,8/8/2025,Engine,1.99,General check,37
558,6/4/2025,Tires,59.99,Routine service,38
559,3/23/2026,Oil Change,49.99,"",39
560,4/12/2025,Inspection,3.29,Repair done,40
561,9/6/2025,Tires,54.99,Routine service,41
562,8/23/2025,Inspection,5.99,Routine service,42
563,11/2/2025,Engine,2.49,General check,43
564,2/28/2026,Engine,79.99,"",44
565,11/25/2025,Engine,29.99,Repair done,45
566,10/21/2025,Tires,29.99,Scheduled maintenance,46
567,8/21/2025,Engine,19.99,Routine service,47
568,5/10/2025,Tires,39.99,Routine service,48
569,10/28/2025,Brakes,6.99,Scheduled maintenance,49
570,5/22/2025,Inspection,3.49,General check,50
571,8/21/2025,Brakes,199.99,Routine service,51
572,6/7/2025,Brakes,2.79,General check,52
573,6/8/2025,Inspection,39.99,Routine service,53
574,8/25/2025,Brakes,3.29,Routine service,54
575,7/28/2025,Oil Change,7.99,Repair done,55
576,5/1/2025,Oil Change,2.49,Routine service,56
577,7/9/2025,Tires,3.79,Routine service,57
578,3/15/2026,Brakes,4.79,Routine service,58
579,8/1/2025,Brakes,2.99,"",59
580,10/18/2025,Oil Change,34.99,"",60
581,1/10/2026,Brakes,3.49,Repair done,61
582,8/20/2025,Brakes,3.5,Repair done,62
583,7/28/2025,Oil Change,3.49,Repair done,63
584,3/6/2026,Engine,22.99,Routine service,64
585,5/18/2025,Tires,19.99,Repair done,65
586,7/20/2025,Brakes,4.19,Routine service,66
587,5/31/2025,Inspection,2.99,Routine service,67
588,12/14/2025,Inspection,69.99,Routine service,68
589,4/7/2025,Engine,4.29,Routine service,69
590,11/10/2025,Oil Change,5.49,"",70
591,6/5/2025,Tires,19.99,Repair done,71
592,8/9/2025,Engine,79.99,Scheduled maintenance,72
593,12/16/2025,Inspection,3.99,Repair done,73
594,6/14/2025,Oil Change,44.99,Routine service,74
595,5/6/2025,Oil Change,14.99,Routine service,75
596,6/10/2025,Brakes,5.29,"",76
597,6/6/2025,Engine,25.99,General check,77
598,4/18/2025,Oil Change,99.99,Scheduled maintenance,78
599,6/14/2025,Brakes,299.99,Scheduled maintenance,79
600,12/16/2025,Brakes,2.99,Routine service,80
601,9/23/2025,Oil Change,3.99,General check,81
602,4/3/2025,Brakes,19.99,Routine service,82
603,4/17/2025,Inspection,2.29,"",83
604,4/30/2025,Oil Change,99.99,Routine service,84
605,3/28/2026,Inspection,12.99,Repair done,85
606,10/22/2025,Brakes,10.99,Scheduled maintenance,86
607,12/12/2025,Tires,199.99,Routine service,87
608,7/11/2025,Engine,5.99,Routine service,88
609,10/17/2025,Brakes,1.99,Routine service,89
610,2/24/2026,Oil Change,3.29,General check,90
611,12/8/2025,Brakes,12.99,Routine service,91
612,10/29/2025,Inspection,3.49,Repair done,92
613,10/24/2025,Oil Change,29.99,"",93
614,7/18/2025,Inspection,14.99,Repair done,94
615,1/20/2026,Engine,3.99,Repair done,95
616,6/21/2025,Inspection,12.99,Scheduled maintenance,96
617,6/8/2025,Engine,2.49,Scheduled maintenance,97
618,3/11/2026,Oil Change,3.99,Scheduled maintenance,98
619,6/16/2025,Tires,6.49,Routine service,99
620,4/11/2025,Brakes,44.99,Repair done,100
621,2/6/2026,Oil Change,49.99,Routine service,101
622,3/14/2026,Brakes,9.99,Repair done,102
623,9/3/2025,Engine,22.99,Routine service,103
624,11/26/2025,Tires,16.99,Repair done,104
625,12/11/2025,Tires,89.99,"",105
626,12/14/2025,Engine,19.99,Routine service,106
627,5/21/2025,Inspection,19.99,"",107
628,10/10/2025,Engine,14.99,Scheduled maintenance,108
629,4/1/2026,Inspection,109.99,Repair done,109
630,4/20/2025,Brakes,149.99,General check,110
631,5/12/2025,Oil Change,19.99,Routine service,111
632,2/6/2026,Engine,15.99,Routine service,112
633,7/8/2025,Brakes,39.99,General check,113
634,3/31/2026,Tires,29.99,Scheduled maintenance,114
635,3/14/2026,Engine,4.19,Repair done,115
636,9/20/2025,Inspection,5.49,Routine service,116
637,6/28/2025,Tires,2.99,Repair done,117
638,7/13/2025,Brakes,2.49,Routine service,118
639,3/5/2026,Oil Change,3.59,"",119
640,8/17/2025,Tires,14.99,Routine service,120
641,3/31/2026,Brakes,29.99,Repair done,121
642,6/9/2025,Inspection,4.99,Routine service,122
643,6/19/2025,Engine,3.29,Routine service,123
644,1/6/2026,Inspection,4.49,"",124
645,8/15/2025,Brakes,4.29,General check,125
646,10/23/2025,Inspection,49.99,Routine service,126
647,12/25/2025,Brakes,49.99,Routine service,127
648,1/13/2026,Inspection,4.99,Routine service,128
649,4/14/2025,Tires,29.99,Repair done,129
650,1/20/2026,Tires,299.99,Routine service,130
651,5/7/2025,Inspection,4.29,Routine service,131
652,11/7/2025,Engine,12.99,"",132
653,4/17/2025,Tires,29.99,General check,133
654,7/10/2025,Brakes,3.49,Routine service,134
655,2/23/2026,Oil Change,1.69,"",135
656,2/16/2026,Engine,39.99,"",136
657,6/29/2025,Oil Change,8.99,Scheduled maintenance,137
658,9/5/2025,Engine,3.79,Repair done,138
659,12/18/2025,Oil Change,12.99,General check,139
660,9/21/2025,Oil Change,19.99,General check,140
661,11/8/2025,Brakes,39.99,Routine service,141
662,8/31/2025,Engine,15.99,Repair done,142
663,1/10/2026,Brakes,199.99,Scheduled maintenance,143
664,12/30/2025,Inspection,3.99,"",144
665,3/4/2026,Inspection,3.79,General check,145
666,7/20/2025,Inspection,12.99,Routine service,146
667,11/21/2025,Brakes,4.99,Routine service,147
668,7/10/2025,Engine,6.99,"",148
669,11/7/2025,Inspection,12.99,Routine service,149
670,6/12/2025,Inspection,34.99,Scheduled maintenance,150
671,4/27/2025,Inspection,49.99,"",151
672,7/12/2025,Oil Change,6.49,"",152
673,3/2/2026,Brakes,2.99,Repair done,153
674,3/28/2026,Brakes,2.49,Routine service,154
675,5/19/2025,Inspection,19.99,Scheduled maintenance,155
676,8/16/2025,Inspection,2.49,Repair done,156
677,9/4/2025,Brakes,3.99,Routine service,157
678,8/28/2025,Engine,49.99,Scheduled maintenance,158
679,1/13/2026,Engine,79.99,Routine service,159
680,7/31/2025,Inspection,19.99,Repair done,160
681,1/7/2026,Brakes,14.99,Repair done,161
682,8/4/2025,Engine,1.99,"",162
683,10/6/2025,Engine,12.99,Routine service,163
684,7/14/2025,Inspection,5.99,Repair done,164
685,5/7/2025,Oil Change,14.99,Repair done,165
686,3/6/2026,Oil Change,2.99,"",166
687,11/3/2025,Oil Change,12.99,"",167
688,5/31/2025,Tires,0.79,Routine service,168
689,3/24/2026,Brakes,19.99,"",169
690,4/8/2025,Brakes,2.49,General check,170
691,3/3/2026,Tires,3.79,"",171
692,11/6/2025,Oil Change,34.99,Routine service,172
693,6/21/2025,Tires,9.99,General check,173
694,3/9/2026,Inspection,1.99,"",174
695,12/30/2025,Inspection,6.49,Scheduled maintenance,175
696,12/23/2025,Engine,24.99,Repair done,176
697,7/29/2025,Brakes,299.99,"",177
698,12/16/2025,Engine,24.99,Routine service,178
699,10/7/2025,Engine,3.99,Routine service,179
700,7/6/2025,Brakes,3.29,Routine service,180
701,6/13/2025,Engine,39,Scheduled maintenance,181
702,2/13/2026,Brakes,4.99,Routine service,182
703,4/1/2026,Engine,34.99,Scheduled maintenance,183
704,7/21/2025,Oil Change,149.99,Repair done,184
705,9/13/2025,Inspection,24.99,Scheduled maintenance,185
706,7/14/2025,Brakes,3.99,General check,186
707,5/15/2025,Tires,34.99,Routine service,187
708,1/23/2026,Engine,24.99,Routine service,188
709,11/19/2025,Brakes,49.99,Repair done,189
710,8/19/2025,Tires,6.49,General check,190
711,5/3/2025,Brakes,34.99,"",191
712,1/27/2026,Tires,3.59,"",192
713,6/19/2025,Inspection,9.99,General check,193
714,3/15/2026,Inspection,3.49,Scheduled maintenance,194
715,5/16/2025,Inspection,19.99,Routine service,195
716,5/27/2025,Inspection,5.99,Repair done,196
717,11/28/2025,Oil Change,3.99,General check,197
718,12/16/2025,Tires,29.99,General check,198
719,7/8/2025,Tires,39.99,Routine service,199
720,10/19/2025,Tires,109.99,Scheduled maintenance,200
721,12/31/2025,Brakes,34.99,"",201
722,8/7/2025,Tires,1.99,Repair done,202
723,12/8/2025,Brakes,39.99,"",203
724,8/22/2025,Oil Change,2.5,Routine service,204
725,10/24/2025,Tires,6.99,General check,205
726,3/3/2026,Engine,29.99,"",206
727,8/11/2025,Tires,39.99,Routine service,207
728,2/11/2026,Tires,24.99,Routine service,208
729,10/12/2025,Engine,3.49,General check,209
730,2/8/2026,Oil Change,2.99,Scheduled maintenance,210
731,4/11/2025,Tires,6.29,Repair done,211
732,3/21/2026,Tires,29.99,"",212
733,5/4/2025,Oil Change,5.49,General check,213
734,3/3/2026,Inspection,12.99,Routine service,214
735,12/7/2025,Brakes,29.99,Routine service,215
736,12/1/2025,Brakes,24.99,Scheduled maintenance,216
737,6/11/2025,Engine,3.99,Repair done,217
738,9/16/2025,Oil Change,49.99,Repair done,218
739,12/23/2025,Oil Change,3.99,General check,219
740,3/19/2026,Engine,149.99,Routine service,220
741,5/3/2025,Oil Change,2.99,Scheduled maintenance,221
742,7/3/2025,Oil Change,2.89,Repair done,222
743,4/16/2025,Oil Change,0.99,Routine service,223
744,2/27/2026,Engine,3.49,General check,224
745,6/4/2025,Engine,29.99,"",225
746,9/17/2025,Inspection,24.99,"",226
747,7/17/2025,Engine,34.99,Scheduled maintenance,227
748,5/22/2025,Oil Change,4.99,"",228
749,10/3/2025,Oil Change,39.99,Routine service,229
750,3/24/2026,Tires,44.99,General check,230
751,4/8/2025,Tires,19.99,Routine service,231
752,3/11/2026,Engine,34.99,Routine service,232
753,1/12/2026,Tires,14.99,General check,233
754,10/16/2025,Inspection,22.99,Routine service,234
755,9/16/2025,Brakes,2.99,Routine service,235
756,5/20/2025,Engine,29.99,Routine service,236
757,2/25/2026,Inspection,3.49,Routine service,237
758,8/31/2025,Brakes,34.99,Scheduled maintenance,238
759,5/27/2025,Brakes,2.99,General check,239
760,1/5/2026,Tires,49.99,Routine service,240
761,9/2/2025,Tires,3.29,"",241
762,10/2/2025,Oil Change,5.99,Routine service,242
763,7/16/2025,Inspection,59.99,Routine service,243
764,3/9/2026,Tires,9.99,Scheduled maintenance,244
765,3/31/2026,Inspection,34.99,Routine service,245
766,6/19/2025,Tires,2.49,Repair done,246
767,2/15/2026,Tires,7.99,"",247
768,12/16/2025,Engine,39.99,General check,248
769,4/6/2025,Tires,28.99,"",249
770,12/23/2025,Tires,22.99,"",250
771,4/1/2026,Brakes,7.99,"",251
772,10/27/2025,Engine,34.99,Repair done,252
773,6/15/2025,Inspection,19.99,"",253
774,1/9/2026,Oil Change,4.49,Repair done,254
775,11/27/2025,Tires,39.99,General check,255
776,9/19/2025,Engine,6.49,Repair done,256
777,6/17/2025,Brakes,2.39,Repair done,257
778,4/18/2025,Inspection,24.99,Repair done,258
779,12/9/2025,Engine,19.99,General check,259
780,1/4/2026,Tires,39.99,Scheduled maintenance,260
781,9/8/2025,Inspection,34.99,Routine service,261
782,7/9/2025,Brakes,24.99,General check,262
783,4/8/2025,Inspection,5.79,Routine service,263
784,6/12/2025,Inspection,22.99,Routine service,264
785,12/12/2025,Inspection,4.99,Repair done,265
786,7/3/2025,Engine,8.99,Routine service,266
787,7/5/2025,Inspection,14.99,"",267
788,12/22/2025,Engine,89.99,General check,268
789,8/21/2025,Oil Change,2.59,Repair done,269
790,3/14/2026,Brakes,29.99,Routine service,270
791,3/29/2026,Engine,19.99,"",271
792,1/11/2026,Tires,29.99,"",272
793,1/31/2026,Inspection,29.99,Scheduled maintenance,273
794,3/30/2026,Inspection,2.69,General check,274
795,6/5/2025,Engine,199.99,"",275
796,6/20/2025,Tires,1.99,Scheduled maintenance,276
797,1/30/2026,Oil Change,39.99,Scheduled maintenance,277
798,6/19/2025,Oil Change,29.99,"",278
799,6/23/2025,Tires,39.99,Routine service,279
800,3/24/2026,Brakes,29.99,General check,280
801,8/16/2025,Tires,7.49,Routine service,281
802,2/8/2026,Brakes,27.99,General check,282
803,1/29/2026,Tires,4.49,General check,283
804,12/5/2025,Oil Change,39.99,Scheduled maintenance,284
805,11/5/2025,Tires,6.49,Scheduled maintenance,285
806,6/3/2025,Inspection,3.99,Routine service,286
807,4/22/2025,Oil Change,59.99,Routine service,287
808,11/1/2025,Oil Change,89.99,Routine service,288
809,10/8/2025,Engine,99.99,"",289
810,5/24/2025,Brakes,2.99,Routine service,290
811,1/28/2026,Inspection,39.99,Routine service,291
812,10/31/2025,Brakes,34.99,Routine service,292
813,3/29/2026,Engine,39.99,Scheduled maintenance,293
814,7/8/2025,Engine,2.99,Repair done,294
815,1/26/2026,Engine,14.99,Routine service,295
816,9/20/2025,Tires,14.99,Routine service,296
817,8/9/2025,Engine,19.99,Repair done,297
818,10/24/2025,Engine,4.49,"",298
819,4/8/2025,Oil Change,3.99,Repair done,299
820,10/26/2025,Engine,14.99,Routine service,300
821,9/17/2025,Brakes,49.99,Routine service,301
822,3/21/2026,Tires,5.99,Repair done,302
823,7/5/2025,Brakes,29.99,Scheduled maintenance,303
824,7/30/2025,Oil Change,3.49,Routine service,304
825,6/26/2025,Engine,19.99,"",305
826,5/26/2025,Oil Change,19.99,"",306
827,7/17/2025,Brakes,89.99,Routine service,307
828,11/27/2025,Engine,3.29,Routine service,308
829,2/12/2026,Oil Change,2.99,Scheduled maintenance,309
830,1/11/2026,Engine,6.99,Repair done,310
831,5/23/2025,Engine,49.99,Routine service,311
832,4/5/2025,Brakes,34.99,Routine service,312
833,9/15/2025,Tires,14.99,Routine service,313
834,11/22/2025,Engine,29.99,Routine service,314
835,1/7/2026,Brakes,3.79,General check,315
836,3/17/2026,Oil Change,6.49,Routine service,316
837,2/1/2026,Tires,14.99,General check,317
838,9/26/2025,Brakes,3.99,Routine service,318
839,12/16/2025,Inspection,19.99,Scheduled maintenance,319
840,3/1/2026,Inspection,5.49,Routine service,320
841,9/10/2025,Tires,24.99,Routine service,321
842,1/7/2026,Engine,18.99,Routine service,322
843,7/25/2025,Tires,5.49,Repair done,323
844,1/4/2026,Oil Change,5.99,Routine service,324
845,1/14/2026,Oil Change,14.99,Routine service,325
846,12/14/2025,Brakes,3.49,Repair done,326
847,7/14/2025,Oil Change,34.99,Scheduled maintenance,327
848,2/17/2026,Inspection,4.89,Scheduled maintenance,328
849,6/6/2025,Tires,24.99,Routine service,329
850,6/12/2025,Oil Change,59.99,"",330
851,3/3/2026,Oil Change,39.99,Routine service,331
852,11/14/2025,Inspection,2.49,Scheduled maintenance,332
853,11/28/2025,Oil Change,79.99,General check,333
854,7/8/2025,Oil Change,99.99,General check,334
855,4/16/2025,Oil Change,34.99,Routine service,335
856,8/9/2025,Tires,15.99,Routine service,336
857,1/21/2026,Inspection,5.49,Routine service,337
858,12/7/2025,Tires,9.99,Repair done,338
859,10/7/2025,Inspection,3.29,"",339
860,3/16/2026,Engine,29.99,"",340
861,11/20/2025,Brakes,3.49,Routine service,341
862,12/4/2025,Oil Change,8.99,"",342
863,6/20/2025,Oil Change,3.79,Routine service,343
864,12/13/2025,Oil Change,1.99,Scheduled maintenance,344
865,10/12/2025,Brakes,49.99,Scheduled maintenance,345
866,4/1/2026,Brakes,39.99,Routine service,346
867,9/7/2025,Inspection,34.99,"",347
868,3/11/2026,Engine,89.99,General check,348
869,8/22/2025,Inspection,49.99,Repair done,349
870,8/13/2025,Engine,2.79,Scheduled maintenance,350
871,2/20/2026,Brakes,39.99,Scheduled maintenance,351
872,4/9/2025,Oil Change,23.99,"",352
873,9/16/2025,Brakes,6.49,Routine service,353
874,3/6/2026,Engine,89.99,Routine service,354
875,11/21/2025,Brakes,19.99,General check,355
876,3/14/2026,Tires,39.99,Scheduled maintenance,356
877,7/13/2025,Brakes,199.99,Repair done,357
878,3/10/2026,Inspection,3.49,"",358
879,7/21/2025,Brakes,89.99,Scheduled maintenance,359
880,3/26/2026,Inspection,2.79,Routine service,360
881,11/21/2025,Oil Change,6.49,Routine service,361
882,12/1/2025,Oil Change,19.99,Routine service,362
883,5/16/2025,Inspection,45.99,Scheduled maintenance,363
884,6/14/2025,Inspection,6.49,Routine service,364
885,5/22/2025,Inspection,14.99,Routine service,365
886,5/17/2025,Oil Change,1.99,Routine service,366
887,5/26/2025,Tires,39.99,"",367
888,11/14/2025,Inspection,59.99,Routine service,368
889,2/9/2026,Brakes,59.99,General check,369
890,10/3/2025,Brakes,19.99,General check,370
891,4/9/2025,Oil Change,39.99,Repair done,371
892,9/25/2025,Inspection,1.79,General check,372
893,7/12/2025,Engine,3.29,Repair done,373
894,11/12/2025,Inspection,2.99,Scheduled maintenance,374
895,8/9/2025,Tires,3.99,Routine service,375
896,11/17/2025,Engine,54.99,Routine service,376
897,12/3/2025,Brakes,3.79,Scheduled maintenance,377
898,11/5/2025,Oil Change,5.49,Routine service,378
899,7/3/2025,Oil Change,69.99,Scheduled maintenance,379
900,9/3/2025,Engine,2.99,Scheduled maintenance,380
901,12/23/2025,Oil Change,2.79,Routine service,381
902,12/29/2025,Oil Change,39.99,General check,382
903,12/11/2025,Tires,5.99,"",383
904,2/19/2026,Oil Change,89.99,General check,384
905,3/23/2026,Brakes,4.49,Repair done,385
906,8/18/2025,Tires,14.99,Scheduled maintenance,386
